TransactionID,CapturedDate,SettlementDate,Amount,TransactionStatusTypeID,CreditCardAccountID,CardNumberMasked,NameOnCard,City,State,ZipCode,MerchantName,IssuingBankName,FirstName,LastName,Email,is_fraud,fraud_type,fraud_score,fraud_flags
4655810,2025-10-18 13:17:33,2025-10-19 13:17:33,203.6,5,9126,XXXXXXXXXXXX0003,Mary Rodriguez,Louisville,KY,52541,Walmart,WELLS FARGO,Mary,Rodriguez,mary.rodriguez@example.com,False,LEGITIMATE,0,
4655811,2025-10-18 13:22:33,2025-10-19 13:22:33,368.32,5,12466,XXXXXXXXXXXX7181,Karen Thompson,Denver,CO,23047,Whole Foods,TRUIST BANK,Karen,Thompson,karen.thompson@example.com,False,LEGITIMATE,0,
4655812,2025-10-18 13:41:33,2025-10-21 13:41:33,318.14,5,12399,XXXXXXXXXXXX1186,Karen Smith,Miami,FL,30083,CVS Pharmacy,CHASE BANK,Karen,Smith,karen.smith@example.com,False,LEGITIMATE,0,
4655813,2025-10-18 13:52:33,2025-10-21 13:52:33,349.46,5,13582,XXXXXXXXXXXX4253,Robert Brown,San Diego,CA,44797,Amazon,TRUIST BANK,Robert,Brown,robert.brown@example.com,False,LEGITIMATE,0,
4655814,2025-10-18 14:00:33,2025-10-21 14:00:33,205.35,5,14699,XXXXXXXXXXXX1737,James Thompson,Indianapolis,IN,29561,Exxon,REGIONS BANK,James,Thompson,james.thompson@example.com,False,LEGITIMATE,0,
4655815,2025-10-18 14:19:33,2025-10-21 14:19:33,16.38,5,7348,XXXXXXXXXXXX3470,Mary Martinez,Fort Worth,TX,74710,Target,PNC BANK,Mary,Martinez,mary.martinez@example.com,False,LEGITIMATE,0,
4655816,2025-10-18 14:47:33,2025-10-20 14:47:33,169.94,5,11344,XXXXXXXXXXXX1838,Jessica Thomas,Baltimore,MD,38925,Amazon,DISCOVER BANK,Jessica,Thomas,jessica.thomas@example.com,False,LEGITIMATE,0,
4655817,2025-10-18 15:17:33,2025-10-20 15:17:33,209.04,5,16978,XXXXXXXXXXXX2773,Sarah Davis,Louisville,KY,54342,Exxon,CHASE BANK,Sarah,Davis,sarah.davis@example.com,False,LEGITIMATE,0,
4655818,2025-10-18 16:13:33,2025-10-19 16:13:33,370.8,5,11533,XXXXXXXXXXXX2694,Patricia Martinez,Dallas,TX,69814,Netflix,US BANK,Patricia,Martinez,patricia.martinez@example.com,False,LEGITIMATE,0,
4655820,2025-10-18 16:35:33,2025-10-19 16:35:33,1503.88,5,8830,XXXXXXXXXXXX1769,Susan Martinez,Portland,OR,32709,CVS Pharmacy,FIFTH THIRD BANK,Susan,Martinez,susan.martinez@example.com,True,ACCOUNT_TAKEOVER,90,account_takeover_unusual_location|account_takeover_large_amount
4655821,2025-10-18 16:38:33,2025-10-21 16:38:33,366.89,5,14773,XXXXXXXXXXXX4957,Linda Garcia,Tucson,AZ,11260,CVS Pharmacy,PNC BANK,Linda,Garcia,linda.garcia@example.com,False,LEGITIMATE,0,
4655822,2025-10-18 17:20:33,2025-10-21 17:20:33,87.73,5,15734,XXXXXXXXXXXX6668,David Taylor,Philadelphia,PA,39114,Best Buy,CHASE BANK,David,Taylor,david.taylor@example.com,False,LEGITIMATE,0,
4655823,2025-10-18 17:27:33,2025-10-20 17:27:33,342.99,5,7953,XXXXXXXXXXXX1970,Joseph Brown,Miami,FL,13765,McDonald's,TRUIST BANK,Joseph,Brown,joseph.brown@example.com,False,LEGITIMATE,0,
4655824,2025-10-18 17:46:33,2025-10-20 17:46:33,22.61,5,16416,XXXXXXXXXXXX7550,James Perez,Indianapolis,IN,88786,Netflix,BANK OF AMERICA,James,Perez,james.perez@example.com,False,LEGITIMATE,0,
4655825,2025-10-18 17:55:33,2025-10-19 17:55:33,65.36,5,13740,XXXXXXXXXXXX2776,Robert Moore,San Jose,CA,13240,Walgreens,PNC BANK,Robert,Moore,robert.moore@example.com,False,LEGITIMATE,0,
4655826,2025-10-18 18:27:33,2025-10-19 18:27:33,473.75,5,12729,XXXXXXXXXXXX8576,Christopher Moore,Detroit,MI,58754,Whole Foods,PNC BANK,Christopher,Moore,christopher.moore@example.com,False,LEGITIMATE,0,
4655827,2025-10-18 19:25:33,2025-10-20 19:25:33,1838.41,5,11433,XXXXXXXXXXXX8873,James Gonzalez,Nashville,TN,24356,Exxon,DISCOVER BANK,James,Gonzalez,james.gonzalez@example.com,False,LEGITIMATE,0,
4655828,2025-10-18 20:21:33,2025-10-19 20:21:33,263.34,5,15262,XXXXXXXXXXXX8882,Susan Moore,Detroit,MI,78822,Shell Gas,FIFTH THIRD BANK,Susan,Moore,susan.moore@example.com,False,LEGITIMATE,0,
4655829,2025-10-18 20:24:33,2025-10-19 20:24:33,373.23,5,9792,XXXXXXXXXXXX4403,Robert Perez,Milwaukee,WI,56303,Walmart,AMERICAN EXPRESS,Robert,Perez,robert.perez@example.com,False,LEGITIMATE,0,
