TransactionID,CapturedDate,SettlementDate,Amount,TransactionStatusTypeID,CreditCardAccountID,CardNumberMasked,NameOnCard,City,State,ZipCode,MerchantName,IssuingBankName,FirstName,LastName,Email,is_fraud,fraud_type,fraud_score,fraud_flags
4547885,2025-10-18 13:16:32,2025-10-19 13:16:32,25.64,5,11651,XXXXXXXXXXXX1686,Joseph Anderson,Baltimore,MD,37468,Home Depot,TD BANK,Joseph,Anderson,joseph.anderson@example.com,False,LEGITIMATE,0,
4547886,2025-10-18 13:33:32,2025-10-20 13:33:32,462.01,5,15373,XXXXXXXXXXXX6837,James Johnson,Portland,OR,78430,Costco,DISCOVER BANK,James,Johnson,james.johnson@example.com,False,LEGITIMATE,0,
4547887,2025-10-18 14:16:32,2025-10-21 14:16:32,454.9,5,15943,XXXXXXXXXXXX6401,Robert Johnson,Phoenix,AZ,72870,Starbucks,SYNCHRONY BANK,Robert,Johnson,robert.johnson@example.com,False,LEGITIMATE,0,
4547888,2025-10-18 14:51:32,2025-10-19 14:51:32,425.85,5,16387,XXXXXXXXXXXX5792,Karen Perez,Houston,TX,19890,McDonald's,BANK OF AMERICA,Karen,Perez,karen.perez@example.com,False,LEGITIMATE,0,
4547889,2025-10-18 14:55:32,2025-10-20 14:55:32,232.71,5,15826,XXXXXXXXXXXX7086,Joseph Lopez,New York,NY,53881,Exxon,CITIBANK,Joseph,Lopez,joseph.lopez@example.com,False,LEGITIMATE,0,
4547890,2025-10-18 15:27:32,2025-10-19 15:27:32,157.32,5,9789,XXXXXXXXXXXX5556,Patricia Taylor,Seattle,WA,24056,Apple,AMERICAN EXPRESS,Patricia,Taylor,patricia.taylor@example.com,False,LEGITIMATE,0,
4547891,2025-10-18 15:58:32,2025-10-20 15:58:32,479.07,5,11425,XXXXXXXXXXXX6156,Karen Martin,Portland,OR,46558,Best Buy,US BANK,Karen,Martin,karen.martin@example.com,False,LEGITIMATE,0,
4547892,2025-10-18 16:28:32,2025-10-21 16:28:32,362.77,5,13742,XXXXXXXXXXXX8938,Elizabeth Taylor,Phoenix,AZ,69639,Apple,TD BANK,Elizabeth,Taylor,elizabeth.taylor@example.com,False,LEGITIMATE,0,
4547893,2025-10-18 16:44:32,2025-10-21 16:44:32,190.35,5,13262,XXXXXXXXXXXX4798,Joseph Martinez,Fort Worth,TX,61876,Target,CITIBANK,Joseph,Martinez,joseph.martinez@example.com,False,LEGITIMATE,0,
4547894,2025-10-18 16:47:32,2025-10-20 16:47:32,484.82,5,9608,XXXXXXXXXXXX1233,Linda Taylor,Jacksonville,FL,54889,Shell Gas,BANK OF AMERICA,Linda,Taylor,linda.taylor@example.com,False,LEGITIMATE,0,
